,x3,x5,x8,x10,x11,x12
2005,5744550,4256677,20670012,4088545,534.75,6772629
2006,5994973,4694234,24689504,4767231,637.62,7532573
2007,6236312,5271258,28665860,8389925,734.94,8961040
2008,6529045,5459185,32750141,8431405,818.73,10251127
2009,6791495,5670810,34601705,11076649,766.85,11439796
2010,7110695,6258983,40532998,13991612,1037.68,13354746
2011,7644827,6635544,46326780,15351387,1161.68,17486373
2012,7945771,6941253,47731922,15796804,1171.67,20305943
2013,8251070,7106910,53184480,20881374,1188.96,21724541
2014,8749630,7658542,56478499,23188414,1305.9,23881767
2015,9279096,7793233,57771661,23913268,1338.68,25674928
2016,9800359,8235701,58134525,22184824,1293.09,28537980
2017,10371691,9024753,59006069,28448315,1432.5,31983933
2018,11023598,9369013,61099495,31737500,1485.05,38035167
2019,11258940,10055838,64540005,33678876,1450.19,47497456
