,x3,x5,x8,x10,x11,x12,y
2005,5744550.0,4256677.0,20670012.0,4088545.0,534.75,6772629.0,373397.0
2006,5994973.0,4694234.0,24689504.0,4767231.0,637.62,7532573.0,455820.0
2007,6236312.0,5271258.0,28665860.0,8389925.0,734.94,8961040.0,596693.0
2008,6529045.0,5459185.0,32750141.0,8431405.0,818.73,10251127.0,756412.0
2009,6791495.0,5670810.0,34601705.0,11076649.0,766.85,11439796.0,732282.0
2010,7110695.0,6258983.0,40532998.0,13991612.0,1037.68,13354746.0,935248.0
2011,7644827.0,6635544.0,46326780.0,15351387.0,1161.68,17486373.0,1061594.0
2012,7945771.0,6941253.0,47731922.0,15796804.0,1171.67,20305943.0,1075045.0
2013,8251070.0,7106910.0,53184480.0,20881374.0,1188.96,21724541.0,1155923.0
2014,8749630.0,7658542.0,56478499.0,23188414.0,1305.9,23881767.0,1385753.0
2015,9279096.0,7793233.0,57771661.0,23913268.0,1338.68,25674928.0,1493552.0
2016,9800359.0,8235701.0,58134525.0,22184824.0,1293.09,28537980.0,1615390.0
2017,10371691.0,9024753.0,59006069.0,28448315.0,1432.5,31983933.0,1909983.0
2018,11023598.0,9369013.0,61099495.0,31737500.0,1485.05,38035167.0,2064211.0
2019,11258940.0,10055838.0,64540005.0,33678876.0,1450.19,47497456.0,2126665.0
2020,11980347.49,10500423.18,73394636.98,40107127.41,1678.48,50843506.23,
2021,12605948.59,11086891.59,78019751.81,44828110.37,1774.25,57905229.08,
